# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1773501525566000000,1773501532212000000,339792
NonBlockingReadAction.finalizedExecutionsCount,1773501525566000000,1773501532212000000,15
NonBlockingReadAction.failedExecutionTimeUs,1773501525566000000,1773501532212000000,0
NonBlockingReadAction.failedExecutionsCount,1773501525566000000,1773501532212000000,0
FileNameCache.totalMisses,1773501525566000000,1773501532212000000,12
FileNameCache.fastMisses,1773501525566000000,1773501532212000000,13
FileNameCache.queries,1773501525566000000,1773501532212000000,37
DirectByteBufferAllocator.reclaimed,1773501525566000000,1773501532212000000,0
FilePageCache.totalPageDisposalsUs,1773501525566000000,1773501532212000000,857
StorageLockContext.competingThreads.max,1773501525566000000,1773501532212000000,0
FilePageCache.uncachedFileAccess,1773501525566000000,1773501532212000000,132
StorageLockContext.competingThreads.avg,1773501525566000000,1773501532212000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773501525566000000,1773501532212000000,0
FilePageCache.totalPageLoadsUs,1773501525566000000,1773501532212000000,89649
StorageLockContext.competingThreads.90P,1773501525566000000,1773501532212000000,0
FilePageCache.pageLoads,1773501525566000000,1773501532212000000,233
FilePageCache.pageFastCacheHits,1773501525566000000,1773501532212000000,4772
FilePageCache.pageLoadsAboveSizeThreshold,1773501525566000000,1773501532212000000,0
DirectByteBufferAllocator.misses,1773501525566000000,1773501532212000000,233
FilePageCache.capacityInBytes,1773501525566000000,1773501532212000000,524288000
DirectByteBufferAllocator.disposed,1773501525566000000,1773501532212000000,233
DirectByteBufferAllocator.hits,1773501525566000000,1773501532212000000,0
FilePageCache.disposedBuffers,1773501525566000000,1773501532212000000,233
FilePageCache.maxCacheSizeInBytes,1773501525566000000,1773501532212000000,246448128
FilePageCache.pageHits,1773501525566000000,1773501532212000000,0
FilePageCache.maxRegisteredFiles,1773501525566000000,1773501532212000000,612
